BrowseAuthor,BrowseTitle,PublicationYear,CallNumber,TotalItemLifetimeCircCount,TotalItemYTDCircCount,,Call No. Color Code
"Knight, Sarah (Freelance editor), author.",You do you : how to be who you are and use what you've got to get what you want,2017,158.1 KNI,23,0,,
NhaÌ‚Ì,How to sit,2014,294.344 NHA,23,0,,
"Spiegelhalter, D. J, author.",The art of statistics : how to learn from data,2019,519.5 SPI,23,0,,
"Flay, Bobby, author.",Bobby Flay fit : food for a healthy lifestyle,2017,641.5 FLA,23,0,,
"Holley, Kyndra, author.",Dairy free ketogenic cooking,2019,641.5638 HOL,23,0,,
"Corbishley, Nicky, author.","Seriously good salads : creative flavor combinations for nutritious, satisfying meals",2019,641.83 COR,23,0,,
"Harari, Yuval N., author.",21 lessons for the 21st century,2018,909.82 HAR,23,0,,
"Amandolare, Sarah.",Fodor's the complete guide to the national parks of the West,2019,917.8 FOD,23,0,,
"Hett, Benjamin Carter, author.",The death of democracy : Hitler's rise to power and the downfall of the Weimar Republic,2018,943.085 HET,23,0,,
"Doyle, Glennon, 1976- author.",Untamed,2020,"BIOG DOYLE,G DOY",23,0,,
"Field, Sally, author.",In pieces,2018,"BIOG FIELD,S FIE",23,0,,
"Brown, BreneÌ",Atlas of the heart : mapping meaningful connection & the language of human experience,2021,158.1 BRO,22,7,,
"Kimball, Christopher, author.",Tuesday nights Mediterranean,2021,641.5918 KIM,22,6,,
"Lembke, Anna, 1967- author.",Dopamine nation : finding balance in the age of indulgence,2021,152.4 LEM,22,5,,
"Smith, Julie Ann (Writer on self-help techniques), author.",Why has nobody told me this before?,2022,158 SMI,22,5,,
"Harding, Rachel (English teacher), author.","English for everyone course book. Level 1, Beginner",2018,ESL 428.24 ENG,22,5,,
"ChÃ¶drÃ¶n, Pema, author.",Practicing peace,2018,294.337 CHO,22,4,,
,Easy everyday keto : healthy kitchen-perfected recipes,2020,641.5638 EAS,22,4,,
"Spiegelman, Art, author, artist.","Maus : a survivor's tale. I, My father bleeds history",1986,GRAPHIC 940.53 SPI,22,4,,
"McBride, Kami, author.",The herbal kitchen : bring lasting health to you and your family with 50 easy-to-find common herbs and over 250 recipes,2019,641.657 MCB,22,3,,
,English for everyone : English vocabulary builder,2018,ESL 428.24 ENG,22,3,,
"Tea, Michelle, author.",Modern tarot : connecting with your higher self through the wisdom of the cards,2017,133.324 TEA,22,2,,
"Stephens, Gin, author.","Fast. Feast. Repeat. : the clean fast protocol for health, longevity, and weight loss - including the 21-day quick start guide",2020,613.25 STE,22,2,,
"Axe, Josh, author.","Ancient remedies : secrets to healing with herbs, essential oils, CBD, and the most powerful natural medicine in history",2021,615.535 AXE,22,2,,
"Daly, Fiona (Handweaver), author.","Weaving on a little loom : weaving on a little loom techniques, patterns, and projects for beginners",2018,746.14 DAL,22,2,,
"Amano, Hugh, author.",Let's make ramen! : a comic book cookbook,2019,GRAPHIC 641.822 AMA,22,2,,
"Gookin, Dan",Android Phones & Tablets for Dummies,,004.167 ANDROID DUM,22,1,,
NhaÌ‚Ì,How to see,2019,294.344 NHA,22,1,,
,PSAT 8/9 prep : with 2 practice tests,2020,378.1662 PSAT PRI,22,1,,
"Berry, Mary, 1935- author.",Classic,2018,641.5 BER,22,1,,
"Reinhart, Peter, author.","Perfect pan pizza : square pies to make at home, from Roman, Sicilian, and Detroit, to grandma pies and focaccia",2019,641.824 REI,22,1,,
,"The perfect cake : your ultimate guide to classic, modern, and whimsical cakes",2018,641.8653 PER,22,1,,
,Fodor's the Carolinas & Georgia,2020,917.5 FOD,22,1,,
"O'Connor, Cailin.",The misinformation age : how false beliefs spread,2019,153.74 OCO,22,0,,
"Rosling, Hans, author.",Factfulness : ten reasons we're wrong about the world-- and why things are better than you think,2018,155.9 ROS,22,0,,
"Shriver, Maria, author.","I've been thinking... : reflections, prayers, and meditations for a meaningful life",2018,158.12 SHR,22,0,,
"Masuno, ShunmyÅ",The art of simple living : 100 daily practices from a Japanese Zen monk for a lifetime of calm and joy,2019,294.3 MAS,22,0,,
"Brooks, David, 1961- author.",The second mountain : the quest for a moral life,2019,302 BRO,22,0,,
"Gates, Melinda, 1964- author.",The moment of lift : how empowering women changes the world,2019,305.42 GAT,22,0,,
"Mejia, Rob, author.",The essential cannabis book,2018,362.295 MEJ,22,0,,
"Rovelli, Carlo, 1956- author.",The order of time,2018,530.11 ROV,22,0,,
"Knopf, Karl G.","Stretching for 50+ : a customized program for increasing flexibility, avoiding injury and enjoying an active lifestyle",2017,613.7182 KNO,22,0,,
"Teigen, Chrissy, author.",Cravings. Hungry for more,2018,641.5 TEI,22,0,,
"Carpender, Dana, author.",The new 500 low-carb recipes : 500 updated recipes for doing low-carb better and more deliciously,2019,641.5638 CAR,22,0,,
"Garza, Jennifer Marie, author.",Keto friendly recipes : easy keto for busy people,2019,641.5638 GAR,22,0,,
"Hussain, Nadiya.",Nadiya's British food adventure,2017,641.5941 HUS,22,0,,
"Abrantes, Melanie, author.",Carve : a simple guide to whittling,2017,736.4 ABR,22,0,,
"Patterson, James, 1947-",The House of Kennedy,2020,BIOG KENNEDY PAT,22,0,,
"Stein, Abby, 1991- author.",Becoming Eve : my journey from ultra-Orthodox rabbi to transgender woman,2019,"BIOG STEIN,A STE",22,0,,
"Damuck, Jess, author.",Salad freak : recipes to feed a healthy obsession,2022,641.83 DAM,21,12,,
InchauspeÌ,Glucose revolution : the life-changing power of balancing your blood sugar,2022,616.462 INC,21,10,,
"Brown, Tina, author.",The palace papers : inside the House of Windsor--the truth and the turmoil,2022,941.085 BRO,21,7,,
"Collier, Marsha, author.","Facebook, Twitter, and Instagram for seniors for dummies",2019,006.754 FACEBOOK TWITTER INSTAGRAM DUM,21,6,,
"Richmond, Simon, author.",USA's best trips,2021,917.3 LON,21,5,,
"Holiday, Ryan, author.",Stillness is the key,2019,128 HOL,21,4,,
"LePera, Nicole, author.","How to do the work : recognize your patterns, heal from your past, and create your self",2021,128 LEP,21,4,,
"Johnson, Kirk W., author.","The feather thief : beauty, obsession, and the natural history heist of the century",2018,364.1628 JOH,21,4,,
"Toll, Maia, author.",The illustrated herbiary : guidance and rituals from 36 bewitching botanicals,2018,581.634 TOL,21,4,,
,HESI admission assessment exam review,2020,610.76 HES,21,4,,
"Fuhrman, Joel, author.","Eat for life : the breakthrough nutrient-rich program for longevity, disease reversal, and sustained weight loss",2020,613.2 FUH,21,4,,
,"Cooking for one : scaled recipes, no-waste solutions, and time-saving tips",2020,641.5611 COO,21,3,,
"De Laurentiis, Giada, author.","Eat better, feel better : my recipes for wellness and healing, inside and out",2021,641.563 DEL,21,3,,
,Ultimate guide : home repair and improvement,2016,643.7 ULT,21,3,,
"Iger, Robert, author.",The ride of a lifetime : lessons learned from 15 years as CEO of the Walt Disney Company,2019,"BIOG IGER,R IGE",21,3,,
"Booth, Thomas, author.","English for everyone, level 1 : beginner practice book",2016,ESL 428.24 ENG,21,3,,
"Keefe, Patrick Radden, 1976- author.",Empire of pain : the secret history of the Sackler dynasty,2021,362.29 KEE,21,2,,
"Flay, Bobby, author.",Bobby at home : fearless flavors from my kitchen,2019,641.5 FLA,21,2,,
"Rosenstrach, Jenny, author.",The weekday vegetarians,2021,641.5636 ROS,21,2,,
"Nicholl, Katie, author.","Harry : love, life, and loss",2018,BIOG HENRY NIC,21,2,,
"Reichl, Ruth, author.",Save me the plums : my Gourmet memoir,2019,"BIOG REICHL,R REI",21,2,,
"Harari, Yuval N., author, translator.",Sapiens : a graphic history : the birth of humankind. Volume one,2020,GRAPHIC 909 HAR,21,2,,
,Hebrew. 1 [sound recording (CD)].,2018,KIT 492.4 HEBREW,21,2,,
"Lewis, Michael (Michael M.), author.",The fifth risk,2018,320.973 LEW,21,1,,
"Kimball, Christopher, author.",Cookish : throw it together,2020,641.555 KIM,21,1,,
"Mackey, John, 1954- author.",The whole foods cookbook : 120 delicious and healthy plant-centered recipes,2018,641.5636 MAC,21,1,,
"Becker, Joshua, author.","The minimalist home : a room-by-room guide to a decluttered, refocused life",2019,241.68 BEC,21,0,,
"Lucado, Max, author.",Unshakable hope : building our lives on the promises of God,2018,248.4 LUC,21,0,,
"Albom, Mitch, 1958- author.","Finding Chika : a little girl, an earthquake, and the making of a family",2019,362.7 ALB,21,0,,
"Reich, David (Of Harvard Medical School), author.",Who we are and how we got here : the ancient DNA revolution and the new science of the human past,2018,572.86 REI,21,0,,
"Hyman, Mark, 1959- author.",Food : what the heck should I eat? : the no-nonsense guide to achieving optimal weight and lifelong health,2018,613.2 HYM,21,0,,
"Hari, Johann, author.",Lost connections : uncovering the real causes of depression-- and the unexpected solutions,2017,616.8527 HAR,21,0,,
"Heaton, Patricia, 1958- author.","Patricia Heaton's food for family and friends : 100 favorite recipes for a busy, happy life",2018,641.5 HEA,21,0,,
"Merchant, Jessica, author.",The pretty dish : more than 150 everyday recipes & 50 beauty DIYs to nourish your body inside & out,2018,641.5 MER,21,0,,
"King, Tiffany, 1967- author.",Eat at home tonight : 101 deliciously simple dinner recipes for even the busiest family schedule,2018,641.512 KIN,21,0,,
"Rosen, Ali, author.",Bring it! : tried and true recipes for potlucks and casual entertaining / Ali Rosen ; photography by Noah Fecks.,2018,641.5973 ROS,21,0,,
"Yonan, Joe, author.","Cool beans : the ultimate guide to cooking with the world's most versatile plant-based protein, with 125 recipes",2020,641.6565 YON,21,0,,
,"Foolproof fish : modern recipes for everyone, everywhere",2020,641.692 FOO,21,0,,
"Sizemore, Nicki, author.",Build-a-bowl,2018,641.82 SIZ,21,0,,
"McCubbin, Tracy, author.","Making space, clutter free : the last book on decluttering you'll ever need",2019,648.8 MCC,21,0,,
"Gordon, Jon, 1971- author.",The Coffee bean : a simple lesson to create positive change,2019,650.1 GOR,21,0,,
"Godin, Seth, author.",This is marketing,2018,658.8 GOD,21,0,,
"Balukjian, Brad, author.",The wax pack : on the open road in search of baseball's afterlife,2020,796.357 BAL,21,0,,
"O'Reilly, Bill, author.",The United States of Trump : how the president really sees America,2019,973.933 ORE,21,0,,
"Hong, Cathy Park, author.",Minor feelings : an Asian American reckoning,2020,"BIOG HONG,C HON",21,0,,
"Moore, Demi.",Inside out : a memoir,2019,"BIOG MOORE,D MOO",21,0,,
"McCurdy, Jennette, 1992- author.",I'm glad my mom died,2022,"BIOG MCCURDY,J MCC",20,11,,
"Nicholson, Louise, author.",Fodor's 25 best. London,2020,914.21 FOD,20,7,,
,Portugal,2021,914.69 POR,20,7,,
"Collier, Marsha, author.",eBay for dummies,2020,381.177 DUM,20,6,,
"Dailey, Donna, author.",Top 10 Paris [2021],2021,914.436 PAR,20,6,,
"Sabin-Wilson, Lisa, author.",WordPress all-in-one for dummies,2019,006.752 WORDPRESS DUM,20,4,,
"Milkman, Katherine L., author.",How to change : the science of getting from where you are to where you want to be,2021,158.1 MIL,20,4,,
"Price, Catherine, 1978- author.",How to break up with your phone : the 30-day plan to take back your life,2017,616.8584 PRI,20,4,,
"Gaines, Joanna, 1978- author.",Magnolia Table. Volume 2 : a collection of recipes for gathering,2020,641.5975 GAI,20,4,,
"Serdula, Donna, author.",LinkedIn profile optimization,2020,650.13 DUM,20,4,,
,Canada,2019,917.1 CAN,20,4,,
"Yalom, Irvin D., 1931- author.",A matter of death and life,2021,"BIOG YALOM,I YAL",20,4,,
"Giridharadas, Anand, author.",Winners take all : the elite charade of changing the world,2018,303.4 GIR,20,3,,
"Wilentz, Sean, author.",No property in man : slavery and antislavery at the nation's founding,2018,342.73 WIL,20,3,,
,ParaProfessional study guide 2019-2020 : ParaPro Assessment review book with practice test questions for the ParaProfessional exam.,2018,370.76 PRA CIR,20,3,,
"Mukherjee, Siddhartha.",The emperor of all maladies : a biography of cancer,2010,616.994 MUK,20,3,,
"Berger, Warren, author.","The book of beautiful questions : the powerful questions that will help you decide, create, connect, and lead",2018,650.1 BER,20,3,,
"Blight, David W., author.",Frederick Douglass : prophet of freedom,2018,"BIOG DOUGLASS,F BLI",20,3,,
"Weverka, Peter, author.",Office 365 all-in-one for dummies,2019,005.5 MS OFFICE 365 DUM,20,2,,
"Centrella, Sarah, author.",#FutureBoards : learn how to create a vision board to get exactly the life you want,2019,153.32 CEN,20,2,,
"Petrucci, Kellyann, author.",Dr. Kellyann's cleanse and reset,2019,613 PET,20,2,,
"Naidoo, Uma, author.","This is your brain on food : an indispensable guide to the surprising foods that fight depression, anxiety, PTSD, OCD, ADHD, and more",2020,616.8 NAI,20,2,,
,"Better Homes and Gardens quick homemade : fast, fresh meals in 30 minutes.",2019,641.512 BET,20,2,,
"Mike D, 1965- author.",Beastie Boys book,2018,782.4216 MIK,20,2,,
"Howard, Ron, 1954- author.",The boys : a memoir of Hollywood and family,2021,BIOG HOWARD HOW,20,2,,
"Symon, Michael, 1969- author.",Fix it with food : more than 125 recipes to address autoimmune issues and inflammation,2019,641.5631 SYM,20,1,,
"Kieffer, Sarah, author.","100 cookies : the baking book for every kitchen with classic cookies, novel treats, brownies, bars, and more",2020,641.8654 KIE,20,1,,
"Carvello, Dorothy, author.",Anything for a hit : an A&R woman's story of surviving the music industry,2018,"BIOG CARVELLO,D CAR",20,1,,
"Johnson, Allan, 1962- author.","31 days before your CCNA routing & switching exam : a day-by-day review guide for the ICND1/CCENT (100-105), ICND2 (200-105), and CCNA (200-125) certification exam",2017,004.6 JOH,20,0,,
"Havrilesky, Heather, author.",What if this were enough? : essays,2018,152.42 HAV,20,0,,
"Taleb, Nassim Nicholas, 1960- author.",Skin in the game : hidden asymmetries in daily life,2018,302 TAL,20,0,,
"Isaacson, Walter, author.","The code breaker : Jennifer Doudna, gene editing, and the future of the human race",2021,576.5 ISA,20,0,,
"Michaels, Jillian, author.","The 6 keys : unlock your genetic potential for ageless strength, health, and beauty",2018,612.68 MIC,20,0,,
"Littlehales, Nick, author.","Sleep : the myth of 8 hours, the power of naps, and the new plan to recharge your body and mind",2018,613.794 LIT,20,0,,
"Chopra, Deepak, author.",The healing self,2018,615.851 CHO,20,0,,
"Grace, Annie, 1978- author.","The alcohol experiment : a 30-day, alcohol-free challenge to interrupt your habits and help you take control",2018,616.86 GRA,20,0,,
"Ramsay, Gordon, author.",Gordon Ramsay quick and delicious : 100 recipes to cook in 30 minutes or less,2020,641.555 RAM,20,0,,
"Lovelace, Amanda, author.",The witch doesn't burn in this one,2018,811.6 LOV,20,0,,
"Lepore, Jill, 1966- author.",These truths : a history of the United States,2018,973 LEP,20,0,,
"Brennan-Jobs, Lisa, 1978- author.",Small fry,2018,"BIOG BRENNAN-JOBS,L BRE",20,0,,
"Land, Stephanie.","Maid : hard work, low pay, and a mother's will to survive",2019,"BIOG LAND,S LAN",20,0,,
"Molinsky, Steven J., author.","Side by side plus. Book 2, activity workbook",2016,ESL 428.24 MOL,20,0,,
"Andersen, Christopher P., author.",The King : the life of Charles III,2022,BIOG CHARLES III AND,19,16,,
"Kross, Ethan, author.",Chatter,2021,158.1 KRO,19,7,,
"Matthes, Eric, 1972-","Python crash course : a hands-on, project-based introduction to programming",2015,005.133 MAT,19,6,,
"Bren, Paulina, author.",The Barbizon : the hotel that set women free,2021,305.4 BRE,19,6,,
"Tyson, Eric (Eric Kevin), author.",Real estate investing for dummies,2020,332.6324 DUM,19,5,,
